city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
Mumbai,2 BHK Apartment,Andheri East,160.0,17777 ,900 ,Ready to move,Last update - 16-10-2019
Mumbai,1 BHK Apartment,Andheri East,110.00000000000001,17322 ,635 ,Ready to move,Last update - 09-11-2019
Mumbai,1 BHK Apartment,Andheri East,37.0,16444 ,225 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,180.0,18000 ,1000 ,Ready to move,Last update - 11-11-2019
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,26000 ,842 ,Ready to move,Last update - 24-01-2020
Mumbai,1 BHK Apartment,Andheri East,52.71,12375 ,426 ,Ready to move,Last update - 24-01-2020
Mumbai,2 BHK Apartment,Andheri East,155.0,14285 ,1085 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,248.0,22125 ,1124 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,13774 ,726 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,130.0,16624 ,782 ,Ready to move,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,104.0,15156 ,689 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,229.99999999999997,20852 ,1103 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,218.00000000000003,15982 ,1364 ,Under Construction,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,172.0,13969 ,1237 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,198.0,19411 ,1020 ,Ready to move,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,240.0,14018 ,1712 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,244.0,18033 ,1353 ,Ready to move,Last update - 16-01-2020
Mumbai,2 BHK Apartment,Andheri East,170.0,15496 ,1097 ,Under Construction,Last update - 16-01-2020
Mumbai,1 BHK Apartment,Andheri East,100.0,14144 ,707 ,Under Construction,Last update - 16-01-2020
Mumbai,3 BHK Apartment,Andheri East,312.0,22694 ,1377 ,Ready to move,Last update - 19-09-2019
